Timestamp,Ward,Envelope Postmarked:,Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How satisfied are you with Somerville as a place to live?,4. How satisfied are you with your neighborhood?,5. Do you feel the City is headed in the right direction or is it on the wrong track?,6a. How would you rate the availability of information about city services?,6b. How would you rate the cost of housing?,6c. How would you rate the overall quality of public schools?,6d. How would you rate your trust in the local police?,6e. How would you rate the maintenance of streets and sidewalks?,6f. How would you rate the availability of social community events?,"7. In the past year, have you used 311 (via phone, online, etc)?","8. In the past year, did you attend a City led meeting?",9. How safe do you feel crossing a busy street in Somerville?,10. How convenient is it for you to get where you want to go? ,11. How safe do you feel walking in your neighborhood at night?,12. How satisfied are you with the appearance of parks and squares in your neighborhood?,13. How satisfied are you with the beauty or physical setting of your neighborhood?,14. How satisfied are you with the condition of your housing?,"15. In the past year, how satisfied were you with your ability to access City services?",1. What is your gender ,What is your age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you identify as having a disability and/or physical impairment that substantially limits one or more of your major activities?,6. Do you have children age 18 or younger who live with you?,7. Describe your housing status in Somerville.,8a. Do you plan to move away from Somerville in the next two years?,"8b. If yes, why?",9. What is your annual household income?,10. Are you a student?,11. How long have you lived in Somerville?,12. What is your primary mode of transportation? ,Any comments?
2021/07/13 11:53:23 AM EST,7,6/21/21,English,8,9,9,9,Right direction,5,4,,4,5,5,"Yes, once",No,8,9,10,10,10,10,10,Female,36,English,Asian,No,No,Own,Yes,Return to work in another state post-pandemic,"$200,000 or more",No,1 year,Walk;Car,
2021/07/13 11:58:49 AM EST,5,6/15/21,English,8,6,9,8,Not sure,3,2,3,2,4,4,No,No,8,9,10,10,8,8,6,Male,30,English,White,No,No,Rent,No,,"$150,000 to 200,000",No,5 years,Car,
2021/07/13 12:06:26 PM EST,5,6/15/21,English,8,8,8,8,Right direction,5,3,4,3,4,5,No,No,9,8,9,10,10,7,10,Female,30,English,White,No,No,Rent,Yes,To buy a house(cannot afford to buy here),"$75,000 to $99,999",No,10 years,Car,
2021/07/13 12:10:00 PM EST,5,6/10/21,English,2,2,7,8,Not sure,3,1,3,2,3,2,"Yes, once",No,8,8,8,8,6,8,8,Male,47,"English, german",White,No,Yes,Own,No,,"$150,000 to 200,000",No,4+ years,Walk;Car,
2021/07/13 12:14:03 PM EST,7,6/10/21,English,6,7,3,4,Wrong track,3,2,4,3,1,3,No,No,8,6,6,7,6,6,6,Male,67,"Punjabi, Hindi",Asian,No,No,Rent,Yes,"too expensive, gentrified, congested","$75,000 to $99,999",No,21 years,Car,
2021/07/13 12:18:04 PM EST,6,6/15/21,English,3,3,7,7,Right direction,4,1,,,3,4,No,No,8,6,10,9,7,4,8,Male,30,English,White; Middle Eastern,No,No,Rent,Yes,Expensive housing,"$150,000 to 200,000",No,3y,Walk;Bike;Public transit;Car,
2021/07/13 12:22:52 PM EST,1,6/15/21,English,8,9,7,9,Right direction,3,2,3,3,3,2,"Yes, once",No,3,5,7,7,8,7,8,Male,70,,White,No,No,Own,No,,"$25,000 to $49,999",,12 yrs,Car,
2021/07/13 12:25:49 PM EST,6,6/14/21,English,8,9,9,9,Right direction,4,3,,,4,4,No,No,9,9,8,9,9,10,9,Female,41,English,White,No,No,Own,No,,"$100,000 to $149,999",No,8 yrs,Walk;Car,
2021/07/13 12:29:38 PM EST,7,6/15/21,English,4,9,9,7,Right direction,5,2,2,5,4,4,"Yes, more than once","Yes, more than once",2,8,8,6,6,9,8,Female,39,English,White,No,Yes,Own,No,,"$200,000 or more",No,15 years,Walk;Car,
2021/07/13 12:33:37 PM EST,7,6/15/21,Spanish,9,9,10,10,Not sure,4,3,4,5,5,3,No,No,8,8,8,10,10,10,8,Female,26,Ingles,Hispanic/Latino,No,No,,Yes,Restricciones de VISA,"$10,000 to $24,999",No,6 meses,Walk,
2021/07/13 12:36:22 PM EST,7,6/15/21,English,9,9,8,8,Right direction,3,3,,3,2,3,"Yes, more than once","Yes, once",1,8,10,8,7,10,8,Male,41,English,White;Portuguese,No,Yes,Own,No,,"$200,000 or more",No,19 years,Walk;Bike;Car,
2021/07/13 12:39:44 PM EST,7,6/10/21,English,10,8,10,10,Right direction,5,1,,3,3,5,No,No,8,10,10,10,10,10,10,Female,40,English,Black/African American,No,No,Own,Yes,affordability,"$200,000 or more",No,8 yrs,Car,
2021/07/13 12:43:36 PM EST,4,,English,8,6,8,6,Not sure,3,1,1,3,3,3,No,No,5,8,6,6,6,6,6,Female,37,English,Asian,No,Yes,Own,Yes,Better schools and bigger space(house),"$200,000 or more",No,10 years,Car,
2021/07/13 12:47:36 PM EST,3,6/8/21,English,7,8,7,4,Wrong track,4,1,,1,1,5,No,,3,8,9,8,8,8,7,non-binary,34,English,White,Yes,No,Rent,No,,"$150,000 to 200,000",No,11,Walk;Bike;Public transit,
2021/07/13 12:50:31 PM EST,4,6/12/21,English,8,9,9,8,Right direction,5,3,4,3,2,5,"Yes, more than once",No,8,9,10,8,9,10,10,Female,67,English,White,No,No,Own,No,,"$25,000 to $49,999",No,14 years ,Walk;Car,
2021/07/13 12:54:16 PM EST,6,6/10/21,English,7,8,8,9,,4,3,,,3,,No,"Yes, once",8,8,7,,8,9,7,Female,35,English,White,No,No,Rent,Yes,Job relocation,"$100,000 to $149,999",No,3.5 years,Walk;Car,
2021/07/13 12:57:19 PM EST,1,6/16/21,English,9,9,9,8,Right direction,4,2,,4,1,2,No,No,9,10,10,9,7,9,8,Male,35,English,White,No,No,Rent,No,,"$200,000 or more",,< 1 Year,Bike,
