Timestamp,Ward,Envelope Postmarked:,Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How satisfied are you with Somerville as a place to live?,4. How satisfied are you with your neighborhood?,5. Do you feel the City is headed in the right direction or is it on the wrong track?,6a. How would you rate the availability of information about city services?,6b. How would you rate the cost of housing?,6c. How would you rate the overall quality of public schools?,6d. How would you rate your trust in the local police?,6e. How would you rate the maintenance of streets and sidewalks?,6f. How would you rate the availability of social community events?,"7. In the past year, have you used 311 (via phone, online, etc)?","8. In the past year, did you attend a City led meeting?",9. How safe do you feel crossing a busy street in Somerville?,10. How convenient is it for you to get where you want to go? ,11. How safe do you feel walking in your neighborhood at night?,12. How satisfied are you with the appearance of parks and squares in your neighborhood?,13. How satisfied are you with the beauty or physical setting of your neighborhood?,14. How satisfied are you with the condition of your housing?,"15. In the past year, how satisfied were you with your ability to access City services?",1. What is your gender ,What is your age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you identify as having a disability and/or physical impairment that substantially limits one or more of your major activities?,6. Do you have children age 18 or younger who live with you?,7. Describe your housing status in Somerville.,8a. Do you plan to move away from Somerville in the next two years?,"8b. If yes, why?",9. What is your annual household income?,10. Are you a student?,11. How long have you lived in Somerville?,12. What is your primary mode of transportation? ,Any comments?
2021/08/06 3:00:41 PM EST,1,5/13/21,English,8,8,7,9,Wrong track,4,1,4,4,4,3,"Yes, once","Yes, more than once",8,8,9,9,8,9,8,Female,44,English,White,No,No,Own,No,Maybe if taxes keep skyrocketing,"$25,000 to $49,999",No,,Walk;Car,
2021/08/06 3:01:37 PM EST,2,5/13/21,Haitian Creole,6,6,5,6,Not sure,4,1,3,2,3,3,No,No,5,5,4,5,7,2,5,Female,24,"Haitian Creole, English",Black/African American,No,No,Rent,Yes,Mwen paka peye kay tro che,"$10,000 to $24,999",No,4 years,Public transit,
2021/08/06 3:03:02 PM EST,2,5/15/21,English,8,8,7,7,Right direction,4,1,2,1,4,5,No,"Yes, more than once",8,7,10,10,10,9,7,Male,26,English,Asian,No,No,Rent,Yes,,"$100,000 to $149,999",No,7 years,Bike,
2021/08/06 3:05:09 PM EST,5,5/13/21,English,8,5,8,8,Not sure,5,1,3,2,4,4,"Yes, once",No,9,10,10,10,9,10,9,Female,44,English,White,No,No,Rent,Yes,To buy my own place,"$100,000 to $149,999",No,4 years,Car,
2021/08/06 3:05:56 PM EST,2,5/15/21,English,8,7,8,9,Right direction,5,1,3,1,4,,No,,10,7,10,10,8,9,,,27,English,White,No,No,Rent,No,,"$75,000 to $99,999",No,.6 years,Walk;Bike;Public transit;Car,
2021/08/06 3:08:00 PM EST,5,5/13/21,English,10,10,10,10,Right direction,5,1,5,3,5,5,"Yes, once",No,10,10,10,10,10,8,10,Female,28,English,White,No,No,Rent,No,,"$100,000 to $149,999",Yes,5 years,Walk;Public transit;Car,
2021/08/06 3:08:20 PM EST,2,5/15/21,English,8,7,9,10,Right direction,4,1,3,4,2,3,"Yes, more than once",No,3,5,10,9,9,9,9,Male,34,English,White,No,No,Own,No,,"$200,000 or more",No,,Walk;Bike,
2021/08/06 3:11:39 PM EST,7,5/13/21,English,5,7,8,8,Right direction,4,1,5,2,1,2,"Yes, more than once",No,1,7,7,8,9,9,3,Female,38,"English, German",White,No,Yes,Own,Yes,Cost of housing,"$100,000 to $149,999",No,5 years,Walk;Bike,
2021/08/06 3:11:50 PM EST,3,5/15/21,English,8,8,9,6,Right direction,4,,4,,4,3,No,No,1,4,4,1,5,9,5,Female,77,English,White,Yes,No,Rent,No,,"$10,000 to $24,999",No,30 years,,
2021/08/06 3:16:32 PM EST,5,5/15/21,English,8,8,9,10,Right direction,4,2,,4,3,4,No,No,9,9,9,10,8,9,8,Male,28,English,White,No,No,Rent,Yes,Moving in with girlfriend,"$100,000 to $149,999",No,2 years,Walk;Car,
2021/08/17 8:46:04 AM EST,4,5/13/21,English,1,8,6,9,Wrong track,,,,2,2,1,No,No,3,1,9,7,7,6,,Male,42,English,White,No,No,Rent,Yes,I want to own land,"$100,000 to $149,999",No,2 years,Walk;Car,What are city services? Trust in local police is better than most.
2021/08/17 8:48:17 AM EST,6,5/13/21,English,6,7,7,9,Right direction,5,1,4,2,2,3,"Yes, once","Yes, once",8,10,10,8,8,6,9,,,,,,,Rent,No,,,No,5 years,Bike,I like the city as long as prices do not rise
2021/08/17 8:50:52 AM EST,7,5/13/21,English,10,8,9,10,Not sure,3,3,3,4,1,3,"Yes, more than once","Yes, once",9,9,9,9,5,10,4,Female,57,English,White,No,Yes,Own,No,,"$100,000 to $149,999",No,50 years,Car,Re maintenance of streets and sidewalks: Especially North St + Grodon St needs to be done
2021/08/17 8:53:13 AM EST,4,5/13/21,English,8,8,10,9,Not sure,5,2,3,4,2,5,"Yes, more than once",No,9,7,8,6,7,3,9,Female,61,English,,No,No,Own,No,,"$75,000 to $99,999",No,,Car,
2021/08/17 8:55:28 AM EST,5,5/13/21,English,8,9,9,8,Right direction,3,2,3,3,3,4,"Yes, once",No,6,9,9,8,8,8,8,Male,60,English,White,No,No,Own,No,,"$75,000 to $99,999",No,,Public transit;Car,
2021/08/17 8:58:22 AM EST,7,5/13/21,English,1,1,1,4,Wrong track,4,4,2,4,3,,"Yes, more than once",No,10,7,10,8,4,6,1,Female,67,English,White,No,No,Own,Yes,High taxes/loss of private property rights/no representation /commie city council,"$50,000 to 74,999",No,33 years,Car,
2021/08/17 12:27:24 PM EST,4,5/13/21,Spanish,10,10,10,10,Right direction,5,5,5,5,5,5,"Yes, more than once",No,10,10,10,10,10,10,10,Male,81,"English, Spanish",Hispanic/Latino;White;Moreno,No,No,pagando ipoteca (paying mortgage),No,,"$10,000 to $24,999",No,15 years,Public transit,
2021/08/17 12:30:30 PM EST,1,5/13/21,English,2,3,3,3,Wrong track,2,3,3,5,1,3,"Yes, more than once",No,10,4,3,1,2,9,6,Male,33,English,White,No,No,Rent,Yes,"Dirty, unkept, rundown",,No,1.5 years,Car,
2021/08/17 12:33:07 PM EST,2,5/12/21,English,8,8,8,8,Right direction,5,4,3,4,4,5,"Yes, more than once",No,8,8,9,9,6,8,9,Female,55,English,White,No,Yes,Own,No,,"$100,000 to $149,999",No,16 years,Walk;Bike;Car,
2021/08/17 12:35:34 PM EST,5,5/12/21,English,8,9,9,9,Right direction,5,3,3,4,4,4,No,,9,9,9,9,9,9,9,Male,47,"English, Japanese",White,No,No,Own,No,,"$100,000 to $149,999",No,18 years,Bike,
2021/08/17 12:39:43 PM EST,2,5/12/21,English,6,6,8,8,Right direction,5,1,3,4,4,5,"Yes, once",No,9,10,5,5,5,10,10,Female,60,English,White,No,No,Own,No,,"$75,000 to $99,999",No,5 years,Walk;Car,
2021/08/17 12:44:25 PM EST,6,5/12/21,English,8,8,10,10,Right direction,5,2,3,4,4,4,No,No,8,9,9,9,9,8,8,Male,43,English,White,No,No,Rent,No,,"$150,000 to 200,000",No,,Walk,
2021/08/17 12:50:31 PM EST,5,5/12/21,English,10,10,10,10,Right direction,5,5,3,5,3,3,No,No,10,8,8,8,9,10,9,Male,30,English,Asian,No,No,Own,Yes,School systems,"$150,000 to 200,000",No,4 years,Walk;Car,
2021/08/17 12:53:05 PM EST,5,5/13/21,English,7,8,3,5,Not sure,5,1,,4,4,5,"Yes, more than once",No,10,10,10,10,5,5,10,Female,41,English,White,No,No,Rent,Yes,cost of living = quality of life,"$200,000 or more",No,2.5 years,Walk,
2021/08/17 12:57:02 PM EST,6,5/12/21,English,8,8,9,9,Right direction,4,4,3,3,4,4,No,No,7,6,5,8,7,6,7,Female,23,"English, Spanish",Hispanic/Latino,No,No,Rent,No,,"$25,000 to $49,999",Yes,1 year,Walk;Public transit,
2021/08/17 12:59:26 PM EST,6,5/12/21,English,6,6,9,9,Right direction,3,1,4,2,4,5,"Yes, more than once","Yes, more than once",5,8,7,8,8,7,4,,62,English,,Yes,Yes,Rent,No,,"$50,000 to 74,999",No,15 years,Walk;Car,
2021/08/17 1:08:29 PM EST,3,5/13/21,English,3,3,2,4,Not sure,3,3,3,3,1,1,No,No,3,3,2,9,6,8,8,Male,47,catalan,White,No,No,Rent,Yes,the pizza is awful,"$50,000 to 74,999",No,10 years,Public transit,
2021/08/19 6:00:08 PM EST,3,6/3/21,Spanish,8,8,9,9,Right direction,5,5,5,5,,,No,No,9,9,9,10,10,10,10,Female,27,Spanish,Hispanic/Latino,No,Yes,Rent,No,,"Less than $10,000",No,4 years,Public transit,
2021/08/19 6:04:39 PM EST,7,6/3/21,English,8,8,3,3,Wrong track,5,4,,5,4,,No,"Yes, more than once",10,3,9,9,4,9,9,Male,60,English,White,No,No,Own,,Transient Community,"$200,000 or more",No,13 years,Walk;Public transit;Car,"The problem with somerville is that in the last ten years, its become a city of transient 20-something year olds, packed into small apartments. All the families in my neighborhood have left. No kids, not too many middle aged. Just post-college dorms and absent landlords. "
2021/08/19 6:07:30 PM EST,4,6/3/21,English,8,8,9,9,Not sure,4,2,3,5,4,3,No,No,8,10,9,9,8,8,8,Male,29,Vietnamese,Asian,No,No,,No,,"$25,000 to $49,999",No,29 years,Car,
2021/08/19 6:09:46 PM EST,5,6/3/21,English,7,6,7,6,Not sure,4,1,2,4,1,4,No,No,4,8,8,9,7,7,2,Male,44,English,White,No,No,Own,No,,"$200,000 or more",No,10,Car,
2021/08/19 6:12:20 PM EST,1,6/3/21,Haitian Creole,10,10,10,10,Right direction,5,1,5,5,5,5,No,No,10,1,10,10,10,10,10,Male,49,Haitian Kreyol,Black/African American,No,Yes,Rent,No,,"$25,000 to $49,999",No,4,Public transit,
2021/08/19 6:14:44 PM EST,5,6/3/21,English,9,8,3,4,Wrong track,2,3,2,2,1,2,No,No,4,8,4,2,2,6,1,Male,66,English,White,No,No,Own,Yes,Too expensive,"$200,000 or more",No,22 years,Car,
2021/08/19 6:17:10 PM EST,6,6/3/21,English,7,7,9,9,Right direction,5,3,4,4,4,4,"Yes, more than once","Yes, more than once",7,9,10,9,8,7,8,Male,43,English,White,No,No,Rent,No,,"$100,000 to $149,999",No,15 years,Bike,
2021/08/19 6:19:17 PM EST,2,6/4/21,English,10,10,10,10,Not sure,3,1,1,5,3,4,"Yes, more than once","Yes, once",10,10,10,9,9,8,1,Female,45,English,White,,,Own,No,,"$200,000 or more",,11 years,Walk,
2021/08/19 6:21:45 PM EST,3,6/4/21,English,9,9,10,9,Right direction,2,3,4,4,2,2,"Yes, once","Yes, once",9,7,7,7,8,8,8,Female,37,English,Asian,No,No,Own,No,,"$200,000 or more",No,2 years,Walk;Car,
2021/08/19 6:24:50 PM EST,2,5/13/21,English,4,4,5,4,Not sure,3,2,3,1,1,4,No,No,3,7,2,5,5,4,5,Male,25,English,White,Yes,No,Rent,No,,"$75,000 to $99,999",No,,Walk;Public transit,
2021/08/19 6:27:04 PM EST,3,5/13/21,English,4,7,9,8,Right direction,4,3,3,4,4,5,No,No,6,4,9,9,9,5,9,Female,31,English,White,No,No,Rent,No,,"$200,000 or more",No,6 years,Public transit,
2021/08/31 12:38:07 PM EST,1,5/13/21,English,8,8,8,7,Wrong track,3,1,2,2,1,3,"Yes, more than once","Yes, more than once",4,4,6,6,5,4,4,Female,39,English,White,No,Yes,Rent,Yes,"Rent is too high, cannot afford to buy a house in Somerville","$100,000 to $149,999",No,39 years,Car,
2021/08/31 12:40:18 PM EST,7,5/13/21,English,7,9,4,5,Wrong track,3,3,2,2,2,3,"Yes, more than once",No,3,2,5,5,5,6,4,Female,59,English,White,No,No,Own,Yes,,"$150,000 to 200,000",No,37 years,Car,
2021/08/31 12:42:48 PM EST,5,5/13/21,English,1,2,4,1,Not sure,5,1,3,1,2,,No,No,4,3,,8,1,1,5,Male,33,English,White,No,No,Rent,Yes,Too expensive/cops,"$75,000 to $99,999",No,1 year,Bike;Car,
2021/08/31 12:45:49 PM EST,5,5/13/21,English,7,7,7,6,Not sure,3,2,,,2,,No,No,7,7,8,6,3,5,7,Male,24,English,White,No,No,Rent,Yes,Move out of state for work or closer to city for higher paycheck,"$75,000 to $99,999",No,1 year,Walk;Car,
2021/08/31 12:48:07 PM EST,7,5/13/21,English,10,10,10,10,Right direction,5,5,5,5,5,5,No,No,10,10,10,10,10,10,10,Male,79,English,White,No,No,Own,No,,,No,50 years,Car,
2021/08/31 12:50:23 PM EST,4,5/13/21,English,10,10,9,9,Right direction,4,3,2,2,3,3,"Yes, more than once",No,7,8,8,7,8,8,9,Female,35,English,White,No,No,Own,No,,"$200,000 or more",No,,Car,
2021/08/31 12:52:43 PM EST,7,5/13/21,English,10,10,9,10,Right direction,4,3,4,5,5,3,"Yes, more than once",No,8,9,9,9,9,10,10,Female,87,English,White,No,No,Own,No,,"$50,000 to 74,999",No,87 years,Car,
2021/08/31 12:54:42 PM EST,6,5/13/21,English,6,7,8,10,Right direction,5,3,4,4,4,4,"Yes, more than once",No,1,8,7,8,8,9,9,Female,57,English,White,No,No,Own,No,,"$75,000 to $99,999",No,,Car,
2021/08/31 12:57:04 PM EST,3,5/13/21,English,9,9,8,9,Right direction,4,4,4,4,1,4,"Yes, more than once",No,9,8,8,8,5,9,8,Female,50,"English, Gujrati",Asian,No,No,Own,No,,"$200,000 or more",No,1 year,Walk;Car,
2021/09/03 10:03:16 AM EST,1,5/13/21,English,6,5,5,6,Not sure,3,2,4,4,1,2,"Yes, more than once",No,5,4,6,5,4,5,3,Female,,,White,No,No,Own,Yes,"Parking, inaccessible roads",,No,,Car,37 years
2021/09/03 10:10:39 AM EST,5,5/13/21,English,7,6,7,7,Not sure,5,1,2,3,3,4,"Yes, once",No,8,9,8,9,8,6,5,Female,46,"English, Cantonese",Asian,No,Yes,Rent,Yes,"Cost, school quality","$75,000 to $99,999",No,16 years,Public transit,
2021/09/03 10:15:11 AM EST,7,6/28/21,English,8,8,9,9,Not sure,3,2,,4,3,,No,No,9,9,9,7,7,9,,Male,34,English,Hispanic/Latino;White,No,No,Own,No,,"$150,000 to 200,000",No,8,Walk;Bike;Public transit,
2021/09/03 10:16:50 AM EST,6,5/13/21,English,7,,8,9,Not sure,4,2,,1,3,4,"Yes, more than once","Yes, once",8,8,10,10,9,10,7,Female,51,"English, Dutch",White,No,No,Rent,No,,,No,3 years,Bike;Public transit,
2021/09/03 10:18:52 AM EST,5,5/20/21,English,7,7,7,7,Right direction,4,1,3,3,3,3,No,No,7,8,9,9,8,8,8,Male,40,English,White,No,No,Rent,Yes,"Cost, girlfriend","$150,000 to 200,000",No,3,Walk;Bike;Public transit;Car,
2021/09/03 10:19:22 AM EST,3,5/13/21,English,1,2,1,1,Wrong track,1,1,3,5,1,1,No,No,1,1,1,4,1,4,9,Male,90,English,White,Yes,No,Rent,Yes,,"$25,000 to $49,999",No,,Car,
2021/09/03 10:21:03 AM EST,5,6/23/21,English,7,10,10,10,Right direction,4,1,4,1,3,4,"Yes, once","Yes, more than once",5,9,10,9,9,6,7,Female,42,English,White,No,Yes,Own,No,,"$75,000 to $99,999",No,15,Walk;Bike;Car,
2021/09/03 10:21:38 AM EST,3,5/13/21,English,4,4,8,9,Right direction,4,2,3,2,3,4,No,No,10,9,10,8,9,8,7,Male,37,English,White,No,No,Rent,No,,"$75,000 to $99,999",No,10,Walk;Bike;Public transit,
2021/09/03 10:22:24 AM EST,5,5/20/21,English,8,8,7,7,Right direction,4,,,,3,4,"Yes, more than once",No,7,8,9,8,7,9,9,Male,40,English,White,No,Yes,Rent,No,,"$200,000 or more",No,10,Walk;Car,
2021/09/03 10:24:28 AM EST,5,5/13/21,English,9,9,1,1,Wrong track,3,1,1,1,2,1,"Yes, more than once",No,1,1,1,5,1,2,1,,50,English,White,No,No,Own,Yes,Unsafe sanctuary city,"$100,000 to $149,999",No,,Car,
2021/09/03 10:25:27 AM EST,7,5/20/21,English,7,6,9,8,Right direction,4,2,3,2,3,4,"Yes, once",No,6,8,10,9,8,9,7,Male,28,English,White,No,No,Own,No,,"$75,000 to $99,999",No,,Bike;Car,
2021/09/03 10:28:08 AM EST,6,5/13/21,English,7,7,8,9,Right direction,5,1,3,1,4,4,No,No,8,8,8,10,10,1,8,Demi-femme,35,English,Hispanic/Latino;White,No,No,Rent,No,,"$100,000 to $149,999",No,10,Walk;Public transit,
2021/09/03 10:30:25 AM EST,3,6/22/21,English,8,8,5,8,Not sure,3,3,3,3,2,2,No,No,3,6,7,7,4,6,6,Male,22,English,Asian,No,No,Rent,No,,"$25,000 to $49,999",Yes,1,Bike,
2021/09/03 10:31:16 AM EST,3,5/13/21,English,7,8,8,9,Not sure,3,1,,,3,3,"Yes, once",No,5,8,9,8,8,9,6,Male,42,English,White,No,Yes,Own,No,,"$200,000 or more",No,15 years,Walk;Bike;Public transit,
2021/09/03 10:32:43 AM EST,2,5/20/21,English,6,7,7,9,Wrong track,3,3,3,3,3,3,"Yes, once",No,3,4,3,6,6,7,7,Female,60,English,White,No,No,Own,No,,"$75,000 to $99,999",No,60,Car,
2021/09/03 10:35:37 AM EST,5,5/13/21,English,3,7,4,7,Wrong track,1,2,3,2,1,3,"Yes, once",No,2,1,10,7,10,3,1,Male,30,English,White,No,No,Rent,Yes,Parking sucks,"$150,000 to 200,000",No,7,Car,
2021/09/03 10:36:29 AM EST,3,5/20/21,English,3,5,2,5,Not sure,4,1,4,4,1,4,"Yes, more than once",No,7,5,8,10,8,9,9,Female,51,Portuguese,White,No,No,,Yes,Overcrowded,"$50,000 to 74,999",No,49,Walk;Car,
2021/09/03 10:38:22 AM EST,3,,English,7,6,10,7,Not sure,4,4,5,4,4,5,"Yes, more than once",,5,6,6,6,8,9,9,Male,71,English,White,Yes,No,Rent,No,,"$25,000 to $49,999",No,,Car,
2021/09/03 10:39:15 AM EST,7,5/13/21,English,,,,,Not sure,1,,4,3,2,3,No,"Yes, once",3,8,6,5,5,6,5,Female,73,Kreyole,Black/African American,Yes,No,Rent,No,,"$10,000 to $24,999",No,35,Walk;Public transit,
2021/09/03 10:40:53 AM EST,5,5/20/21,English,9,8,2,4,Wrong track,3,1,3,4,3,3,"Yes, once",No,10,7,10,8,8,8,6,Female,,,,No,No,,Yes,Don't like living here anymore,,No,52,Car,
2021/09/03 10:41:57 AM EST,1,5/13/21,English,5,7,5,5,Not sure,2,1,3,4,3,3,No,No,6,8,8,7,6,6,7,Female,54,English,White,No,No,Rent,Yes,Personal reason,"$150,000 to 200,000",No,,Car,
2021/09/03 10:42:33 AM EST,7,6/29/21,English,10,10,10,10,Right direction,5,3,,5,4,5,No,No,9,10,9,8,8,8,,Male,42,English,White,No,No,Own,Yes,We'll need more space + a yard for kids.,"$200,000 or more",No,21,Walk;Public transit,
2021/09/03 10:44:06 AM EST,5,5/13/21,English,9,9,8,8,Right direction,4,3,4,3,2,3,"Yes, more than once","Yes, once",7,8,9,8,10,9,8,Male,43,"English, Spanish",Hispanic/Latino,No,No,Own,No,,"$75,000 to $99,999",No,,Walk;Car,
2021/09/03 10:45:55 AM EST,3,,English,6,5,7,7,Not sure,4,3,4,4,4,4,No,No,7,8,8,7,7,8,7,Female,54,English,Asian;White,Yes,No,Rent,No,,"$10,000 to $24,999",No,33,Walk;Public transit,
2021/09/03 10:46:50 AM EST,7,5/13/21,English,7,9,4,6,Wrong track,3,1,4,4,1,3,"Yes, more than once",No,9,7,8,8,8,7,6,Female,50,English,White,No,Yes,Rent,Yes,"Too expensive, not same city anymore","$100,000 to $149,999",No,50,Car,
2021/09/03 10:49:42 AM EST,3,5/13/21,English,5,8,6,6,Not sure,3,3,3,3,3,1,No,No,7,6,7,7,5,4,5,Female,27,English,Asian,No,No,Rent,Yes,grad school,"$75,000 to $99,999",,2 years,Walk;Public transit,
2021/09/03 10:50:57 AM EST,2,,English,8,8,8,9,Right direction,5,4,3,4,4,5,No,No,8,8,8,9,9,9,8,Female,32,English,Asian,No,No,,No,,"$200,000 or more",No,2.5,Bike,
2021/09/03 10:51:43 AM EST,7,5/20/21,English,10,10,10,10,Right direction,5,1,5,5,5,5,No,No,10,1,10,10,10,10,10,Male,35,English,Black/African American,No,No,Rent,No,,,No,9,Car,
2021/09/03 10:54:03 AM EST,7,5/13/21,English,4,8,8,8,Not sure,5,1,4,5,2,4,"Yes, more than once","Yes, more than once",5,8,10,10,7,7,9,Female,40,English,White,No,Yes,Rent,No,,"$150,000 to 200,000",No,12,Walk;Car,
2021/09/03 10:56:00 AM EST,6,5/20/21,English,7,7,8,8,Not sure,4,1,3,1,3,4,"Yes, more than once",No,4,8,8,7,7,3,6,Gender fluid,26,English,White,No,No,Rent,Yes,Tax expensive,"$50,000 to 74,999",No,3,Walk;Public transit,
2021/09/03 10:57:43 AM EST,1,5/13/21,English,4,4,7,6,Not sure,4,1,4,3,1,5,"Yes, more than once","Yes, more than once",1,4,4,7,6,7,6,Female,59,English,Southern european,No,No,Own,No,,"$25,000 to $49,999",No,,Walk;Public transit;Car,Thanks for asking
2021/09/03 11:05:11 AM EST,7,5/17/21,English,8,7,7,7,Not sure,4,1,3,3,3,3,No,No,7,8,8,8,7,7,8,Male,33,English,White,No,No,Rent,Yes,Rent is insane,"$150,000 to 200,000",No,3,Walk;Car,
2021/09/03 11:11:55 AM EST,3,6/4/21,Spanish,9,9,9,9,Right direction,4,1,5,5,4,4,No,"Yes, more than once",9,8,9,10,9,2,9,Female,38,"Spanish, Portugues",Hispanic/Latino,No,Yes,Rent,No,,"$10,000 to $24,999",No,10,Walk;Public transit,
2021/09/10 10:07:14 AM EST,7,6/4/21,English,10,10,10,10,Right direction,5,1,3,2,4,3,"Yes, more than once",No,10,10,10,10,10,10,10,Male,48,English,White,No,No,Rent,No,,"$75,000 to $99,999",No,,Car,
2021/09/10 10:12:49 AM EST,5,5/19/21,English,10,10,1,8,Wrong track,2,1,3,5,1,3,"Yes, once","Yes, more than once",9,9,6,6,6,9,6,Female,60,English,White,No,Yes,Own,,"Current mayor, taxes, paying for a school I have no kids in, bicyclists getting more rights than pedestrians","$150,000 to 200,000",No,60,Walk;Car,"Why are my property taxes going up hundreds of dollars per year to pay for a high school in which I have no children?

The current mayor was good in the beginning, lowering taxes for property owners, but money from developers turned him into an idiot who bows down to the young yuppies who want everything their own way, who want to defund police, and get rid of cars. Bring back the old Somerville"
2021/09/10 10:14:45 AM EST,1,5/13/21,Spanish,10,8,10,10,Right direction,4,2,5,5,5,3,No,No,10,6,5,8,9,9,6,Male,67,Espanol,Hispanic/Latino,No,No,Rent,Yes,Regresar a mi pais,"$25,000 to $49,999",No,30,Public transit,
2021/09/10 10:15:48 AM EST,3,5/17/21,English,6,7,8,8,Right direction,4,1,3,4,1,3,No,No,6,7,7,6,6,5,6,Female,30,English,Asian,No,No,Rent,No,,"$150,000 to 200,000",No,,Walk;Bike;Public transit;Car,
2021/09/10 10:17:20 AM EST,1,5/13/21,English,6,6,7,7,,3,3,,4,3,4,No,No,7,7,8,7,8,8,7,Female,78,Chinese,Asian,,No,,No,,"Less than $10,000",No,28,Public transit,
2021/09/10 10:18:46 AM EST,7,5/24/21,English,10,9,10,8,Right direction,5,3,5,5,5,5,"Yes, more than once","Yes, more than once",7,9,10,10,10,10,10,Female,65,English,White,No,No,Own,No,,"$50,000 to 74,999",No,35,Car,
2021/09/10 10:20:25 AM EST,7,6/4/21,English,8,8,9,8,Right direction,4,1,3,2,3,4,"Yes, more than once","Yes, more than once",8,5,8,9,7,5,6,Female,29,French,Hispanic/Latino;White,Yes,No,Rent,Yes,Graduate School,"Less than $10,000",No,8 years,Public transit,
2021/09/10 10:20:38 AM EST,1,5/13/21,English,10,10,10,9,Not sure,5,,,,3,,"Yes, more than once","Yes, more than once",8,8,8,8,8,9,9,Male,63,English,White,No,No,Own,No,,,No,63,Car,
2021/09/10 10:23:25 AM EST,5,5/13/21,English,9,9,10,9,Right direction,5,,,2,1,5,"Yes, more than once","Yes, once",9,8,10,8,5,10,10,Female,49,English,White,No,No,Own,No,,"$25,000 to $49,999",No,26,Walk;Car,
2021/09/10 10:25:24 AM EST,7,6/4/21,Nepali,8,9,9,7,Wrong track,3,4,4,4,4,2,"Yes, more than once","Yes, once",8,9,9,9,10,10,10,Female,25,Thai,Asian;Hispanic/Latino;White,No,Yes,Own,Yes,M.D.,"$100,000 to $149,999",No,,Bike,
2021/09/10 10:26:36 AM EST,3,5/24/21,English,9,9,,9,Not sure,3,3,4,3,1,4,"Yes, more than once",No,1,9,,9,6,3,7,Female,69,English,White,Yes,No,Own,No,Not sure,"$25,000 to $49,999",No,69,Walk;Bike;Car,"A happiness survey? Why not what improvements do you feel are needed re. infrastructure

Relived Re:COVID

Changes are creating traffic issues

Parking issues and traffic

I had a bad experience when I went to police re:fraud. He was not helpful and dismissive

Some of the sounds to cross - sound like machine guns why such a sound?

Pot holes are unbearable"
2021/09/10 10:29:35 AM EST,7,6/4/21,Spanish,8,9,6,9,Not sure,4,3,4,4,5,4,No,"Yes, more than once",6,8,8,7,8,8,8,Male,23,,Hispanic/Latino;White,No,Yes,Rent,No,,"$25,000 to $49,999",No,8,Walk,
2021/09/10 10:30:29 AM EST,4,5/13/21,English,9,9,8,8,Right direction,5,3,3,3,2,3,"Yes, once",No,10,10,9,3,3,10,8,Female,55,English,White,No,No,Own,No,,"$200,000 or more",No,2,Public transit,Somerville would be perfect if not for litter + rats! The litter is terrible! The rats are a real problem. 
2021/09/10 10:32:01 AM EST,7,6/4/21,Portugese,8,9,9,8,Wrong track,2,3,4,4,4,5,"Yes, more than once","Yes, once",7,9,8,9,9,8,8,Male,33,Portuguese,Black/African American,No,Yes,Own,No,,"$50,000 to 74,999",No,,Bike,
2021/09/10 10:33:17 AM EST,2,5/24/21,English,8,7,7,5,Wrong track,4,1,2,2,2,3,"Yes, once","Yes, once",4,5,6,9,4,8,1,Female,,,,,Yes,Own,Yes,,,No,15,Walk;Car,
2021/09/10 10:34:03 AM EST,7,6/4/21,Haitian Creole,8,8,9,10,Right direction,4,4,5,5,4,5,No,"Yes, more than once",8,9,8,9,9,10,10,Male,31,French,White,Yes,Yes,Own,No,,"$25,000 to $49,999",No,,Bike,
2021/09/10 10:35:40 AM EST,2,5/13/21,Portugese,,,1,1,Wrong track,1,1,1,1,,1,No,No,,1,1,4,1,5,,Female,80,Portuguese,White,No,No,Own,No,,,No,,Car,a ciudad de somerville e muito cara para viver principalmente ma agua ma suver e mas texes muito dificil esta sempre a subir e a gente a descer e buracos mos carninhos que cabe um cao. daqui sera para o cerritrio. 
2021/09/10 10:36:39 AM EST,6,5/24/21,English,5,4,8,8,Right direction,5,2,3,2,5,4,"Yes, more than once",No,8,4,9,8,9,5,9,Male,26,English,White,No,No,Rent,No,,"$75,000 to $99,999",Yes,less than 1 year,Walk;Car,
2021/09/10 10:38:00 AM EST,2,6/4/21,English,9,7,9,9,Not sure,4,2,4,3,4,4,"Yes, more than once","Yes, once",5,9,9,8,9,7,8,Female,,English,Human Race,Yes,No,Own,No,,"Less than $10,000",No,,Public transit,
2021/09/10 10:39:30 AM EST,6,5/24/21,English,7,8,8,8,Right direction,5,1,3,3,4,4,"Yes, more than once",No,4,7,8,8,7,8,8,Female,47,English,White,No,Yes,Own,No,,"$100,000 to $149,999",No,13,Car,
2021/09/10 10:40:27 AM EST,1,5/13/21,English,8,6,3,3,Not sure,4,1,3,2,2,5,No,No,8,7,8,6,2,9,9,Female,26,English ,White,No,No,Rent,Yes,I want to see more trees,"$25,000 to $49,999",No,2,Walk;Bike,
2021/09/10 10:42:27 AM EST,5,5/17/21,English,7,7,10,9,Not sure,5,1,3,4,3,5,No,No,10,8,7,8,9,9,10,Female,47,English,White,No,No,Rent,,[x] Maybe - I am looking to buy and cannot afford here,"$75,000 to $99,999",No,15,Car,
