Test Date,Confirmed (by PCR) COVID Cases
1/2/22,102
1/3/22,352
1/4/22,307
1/5/22,266
1/6/22,306
1/7/22,116
1/8/22,111
1/9/22,86
1/10/22,248
1/11/22,139
1/12/22,138
1/13/22,167
1/14/22,117
1/15/22,108
1/16/22,53
1/17/22,93
1/18/22,157
1/19/22,116
1/20/22,82
1/21/22,88
1/22/22,54
1/23/22,48
1/24/22,89
1/25/22,58
1/26/22,33
